Messstelle Nr.,Messtelle,Messbeginn,Messende,Messstellezweck,Betreiber,Landkreis,Flussgebiet,Grundwasserkörper,Überschwemmungsgebiet,Wasserschutzgebiet,UTM-Rechtswert,UTM-Hochwert
600001186,Agathenburg UE 136 FI,1995,1995,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Lühe-Schwinge Lockergestein,,,32535620,5934006
600001188,Agathenburg UE 136 FII,1992,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Lühe-Schwinge Lockergestein,,,32535619,5934009
600001190,Agathenburg UE 136 FIII,2000,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Lühe-Schwinge Lockergestein,,,32535618,5934012
1100003726,Ahausen Peilbrunnen 47,1999,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Hase links Lockergestein,,Ahausen - Sitter,32424368,5823196
400001392,Ahe: Ahe 1,1989,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Oberweser-Hameln,Weser (LK Schaumburg),Engern und Ahe,32509003,5781956
400001393,Ahe: Ahe 2,1989,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Oberweser-Hameln,Weser (LK Schaumburg),Engern und Ahe,32508863,5781994
400000953,Aher Kämpe,2001,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Oberweser-Hameln,Weser (LK Schaumburg),Engern und Ahe,32508813,5781694
600000800,Ahlen-Falkenberg UE 112 FI,2000,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,,32486168,5950597
600001662,Ahlenmoor UE 98 FI,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,,32485158,5948663
700000533,Ahlequelle,2006,2006,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Holzminden,Weser,Vogler-Solling-Bramwald,,Ahlequelle,32535365,5731379
400001394,Ahlequelle: Ahlequelle,1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Vogler-Solling-Bramwald,,Ahlequelle,32535350,5731285
400001991,Ahlequelle: Ahlequelle Tiefbrunnen,2007,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Vogler-Solling-Bramwald,,Ahlequelle,32535135,5731010
400001992,Ahlequelle: Wasserwerk Ahlequelle,1983,2002,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Vogler-Solling-Bramwald,,Ahlequelle,32535348,5731305
900000525,Ahlhorn I,1990,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32449498,5859057
700050001,Ahlshausen_I,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Leine mesozoisches Festgestein rechts 2,,Ahlshausen,32568970,5740490
1200007003,Ahmsen I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Hase Lockergestein rechts,,,32407167,5849911
1200007004,Ahmsen II,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Hase Lockergestein rechts,,,32407168,5849912
400001395,Ahnewelle: Ahnewelle Tiefbrunnen,1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein rechts 2,,Apenteichquelle / Ahnewelle,32564741,5755956
702490002,Albshausen Quelle 5 (Roter Bach),2009,2009,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Werra,,,32558663,5692761
702490003,Albshausen Quelle 5-6,2009,2014,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,,Weser,,,,32558452,5692271
702490001,Albshausen Quelle 6,2009,2009,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Werra,,,32558663,5692761
800000618,Aldorf,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Hunte Lockergestein rechts,,,32465632,5844372
600001060,Alfstedt UE 56 FI,1992,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein links,,,32504886,5932338
500001891,Allenbostel,2005,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein links,,,32592207,5876050
500000001,Allenbostel,2005,2014,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein links,,,32592207,5876050
500001893,Allenbostel A,2015,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein links,,,32592201,5876047
700000622,Allersehl I,2006,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Örtze Lockergestein links,,,32600678,5842398
700000624,Allersehl II,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Örtze Lockergestein links,,,32600676,5842396
400000507,Allersheimer Grund,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Holzminden,Weser,Vogler-Solling-Bramwald,,Nordwest-Solling,32535414,5744128
400003617,Almstedt,2010,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Innerste mesozoisches Festgestein links,,,32565753,5765392
1200000097,Altenberge,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein links,,,32373573,5853523
400000271,Altenhagen,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Mittlere Weser Lockergestein rechts,,,32523786,5808963
400000277,Altenhagen I,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Mittlere Weser Lockergestein rechts,,,32523406,5809471
400000279,Altenhagen II,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Mittlere Weser Lockergestein rechts,,,32523407,5809473
400001397,Altenhagen II: Altenhagen II Quelle 1,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Leine mesozoisches Festgestein links 2,,Altenhagen II,32528411,5790680
400001396,Altenhagen II: Altenhagen II Quelle 2,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Schaumburg,Weser,Leine mesozoisches Festgestein links 2,,Altenhagen II,32528677,5790656
800000528,Altenmarhorst,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Hunte Lockergestein rechts,,,32472209,5850980
500000266,Altenmedingen F1,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32608126,5888786
500000267,Altenmedingen F2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Uelzen,Elbe/Labe,Ilmenau Lockergestein rechts,,,32608125,5888792
1100000011,Altenoythe,1991,2010,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Cloppenburg,Ems,Leda-Jümme Lockergestein rechts,,,32425299,5877886
600000658,Altenwalde UE 92 FI,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32478892,5964963
600000660,Altenwalde UE 92 FII,1991,1997,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32478894,5964967
600000662,Altenwalde UE 92 FIII,1997,1997,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32478893,5964966
600000618,Altenwalde-Heide UE 94 FI,2000,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32476625,5964461
600000620,Altenwalde-Heide UE 94 FII,2000,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32476629,5964461
600001661,Altenwalde-Heide UE 94 FIII,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Land Hadeln Lockergestein,,Altenwalde,32476627,5964460
600001014,Altluneberg UWO 117,1998,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Weser,Untere Weser Lockergestein rechts,,,32487621,5931469
700110001,Altwallmoden_GrSpring,2000,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Innerste mesozoisches Festgestein links,,Alt Wallmoden/Baddeckenstedt,32589663,5763874
400001398,Alvesrode: Alvesrode Brunnen,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine mesozoisches Festgestein links 2,,Alvesrode,32541040,5782625
1100000119,Ambergen,1987,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Weser,Hunte Lockergestein links,,,32461227,5850296
100000317,Amdorf I,2004,2011,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein rechts,,,32402036,5897583
100000319,Amdorf II,2011,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein rechts,,,32402037,5897583
100000321,Amdorf III,2011,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein rechts,,,32402039,5897583
400001399,Amelgatzen: Amelgatzen,1993,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Südlippische Trias-Gebiete,,Bad Pyrmont,32522873,5761936
500000309,Amelinghausen F1,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüneburg,Elbe/Labe,Ilmenau Lockergestein links,,,32582463,5885382
500000310,Amelinghausen F2,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüneburg,Elbe/Labe,Ilmenau Lockergestein links,,,32582452,5885387
500000311,Amelinghausen F3,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Lüneburg,Lüneburg,Elbe/Labe,Ilmenau Lockergestein links,,Amelinghausen,32582496,5886614
704170001,Ammental_Hochbehälter,1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,,32600759,5750514
600001458,Anderlingen UE 106,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein rechts,,,32518695,5914465
600001456,Anderlingen UE 158 FI,1996,2002,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein rechts,,,32519614,5915283
600001460,Anderlingen UE 158 FII,1996,2002,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein rechts,,,32519613,5915278
600001462,Anderlingen UE 158 FIII,1996,2002,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Elbe/Labe,Oste Lockergestein rechts,,,32519609,5915292
800000808,Anderten,1987,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Untere Aller Lockergestein links,,,32520250,5842502
800001198,Anemolter,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Nienburg (Weser),Weser,Mittlere Weser Lockergestein links 2,,,32504506,5822470
900000743,Annenheide,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Ochtum Lockergestein,,Annenheide,32474249,5871171
1100000314,Anten ersetzt durch Anten (Neu) 9700303,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Hase links Lockergestein,,,32415282,5831708
600001372,Apensen UE 30 FI,1995,1999,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Oste Lockergestein rechts,,,32539626,5920307
600001374,Apensen UE 30 FII,1999,1999,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Oste Lockergestein rechts,,,32539632,5920309
400002644,Apenteichquellen: Apenteichq. Freden,1995,2006,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein rechts 2,,Apenteichquelle / Ahnewelle,32564711,5755337
400002645,Apenteichquellen: Apenteichq. Winzenburg,1995,2000,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hildesheim,Weser,Leine mesozoisches Festgestein rechts 2,,Apenteichquelle / Ahnewelle,32564711,5755336
100000133,Ardorf I,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Wittmund,Ems,Norderland/Harlinger Land,,,32412837,5929884
100000135,Ardorf II,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Wittmund,Ems,Norderland/Harlinger Land,,,32412839,5929883
100000137,Ardorf III,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Wittmund,Ems,Norderland/Harlinger Land,,,32412837,5929885
1100000129,Arkeburg,1988,2006,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Weser,Hunte Lockergestein links,,,32459403,5843457
800000872,Aschen,1981,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Hunte Lockergestein links,,,32457455,5833007
1200000001,Aschendorf,2007,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein rechts 2,,,32389535,5880123
700000571,Aschenhütte I,1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Osterode am Harz,Weser,Rhume mesozoisches Festgestein rechts,,Pöhlder Becken,32590035,5726710
700000573,Aschenhütte II,1995,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Osterode am Harz,Weser,Rhume mesozoisches Festgestein rechts,,Pöhlder Becken,32590033,5726709
900000465,Aschhauserfeld I,1977,2011,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Ammerland,Ems,Leda-Jümme Lockergestein rechts,,Bad Zwischenahn,32436584,5893693
800000722,Asendorf I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Große Aue Lockergestein links,,,32498549,5846361
500001004,Asendorf SW F1,1993,1997,Grundwassergütemessstelle,NLWKN Betriebsstelle Lüneburg,Harburg,Elbe/Labe,Este-Seeve Lockergestein,,,32563754,5902598
500001005,Asendorf SW F2,1995,1997,Grundwassergütemessstelle,NLWKN Betriebsstelle Lüneburg,Harburg,Elbe/Labe,Este-Seeve Lockergestein,,,32563754,5902618
700160001,Aspetal_Gillersheim_Br.,1996,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Northeim,Weser,Rhume mesozoisches Festgestein links,,Gillersheim-Aspetal,32575119,5720151
600000980,Assel UE 123 FI,1991,1991,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Stade,Elbe/Labe,Land Kehdingen Lockergestein,,,32529167,5948419
1100000207,Astrup,1988,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Ems,Hase Lockergestein rechts,,Vörden,32439622,5816434
702920001,Atzenhausen Brunnen ,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein links 1,,Atzenhausen,32555414,5696754
702920002,Atzenhausen Brunnen 2,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein links 1,,Atzenhausen,32555499,5697290
700000601,Atzenhausen (482/35),,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein links 1,,Atzenhausen,32555110,5697360
1100000135,Auen-Holthaus,1983,2009,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Cloppenburg,Ems,Hase Lockergestein rechts,,,32413355,5854578
1200000156,Auf dem Marsch I,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein links,,,32381758,5840932
1200000158,Auf dem Marsch II,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Mittlere Ems Lockergestein links,,,32381760,5840933
600001440,Augustendorf UE 150 FI,1996,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Rotenburg (Wümme),Weser,Wümme Lockergestein rechts,,,32506350,5914114
400000185,Averhoy (alt),2006,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein rechts,,,32536038,5823475
600001416,Axstedt 175/1R,2001,2001,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Osterholz,Weser,Untere Weser Lockergestein rechts,,,32485391,5910334
400001403,"Bad Münder, Klein Süntel: Brunnen I",1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Steinbachtal,32528839,5780853
400001405,"Bad Münder, Klein Süntel: Brunnen II",1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Steinbachtal,32529419,5779720
400001410,"Bad Münder, Seyerwiesen: Brunnen 3",1994,1994,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Bad Münder - Seyerwiesen,32531090,5784232
400001408,"Bad Münder, Seyerwiesen: Brunnen 5",2007,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Bad Münder - Seyerwiesen,32531017,5784330
400001407,"Bad Münder, Seyerwiesen: Brunnen 6",1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Bad Münder - Seyerwiesen,32530963,5784402
400001406,"Bad Münder, Seyerwiesen: Brunnen 7",1999,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Bad Münder - Seyerwiesen,32530886,5784462
400002057,"Bad Münder, Seyerwiesen: WW Seyerwiesen",1992,1994,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Bad Münder - Seyerwiesen,32531075,5784269
400002058,"Bad Münder, Süntelquellen: Bergschmiede",1992,1994,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Oberweser-Hameln,,Steinbachtal,32529503,5781648
700250002,Baddeckenstedt_Düsterborn,2007,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Wolfenbüttel,Weser,Innerste mesozoisches Festgestein links,,Alt Wallmoden/Baddeckenstedt,32583877,5771259
700260001,Badenhausen TB,1998,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Osterode am Harz,Weser,Rhume mesozoisches Festgestein rechts,,Badenhausen,32584090,5735860
700180002,Bad_Grund_Magdeburger_Stollen,2005,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Osterode am Harz,Weser,Rhume Harzpaläozoikum,,Bad Grund/Magdeburger Stollen,32585443,5741292
700000856,Bahrdorf I,1992,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,,32634962,5805903
700000858,Bahrdorf II,1992,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Helmstedt,Weser,Obere Aller mesozoisches Festgestein links,,,32634962,5805901
800001126,Bahrenborstel II,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Große Aue Lockergestein rechts,,,32486426,5825466
800001128,Bahrenborstel III,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Sulingen,Diepholz,Weser,Große Aue Lockergestein rechts,,,32486431,5825467
900000799,Bäke,1973,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Hunte Lockergestein rechts,,,32459525,5890084
400001411,Bakede: Bakede Brunnen,1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Leine mesozoisches Festgestein links 2,,Evertsquelle,32526434,5783576
400000359,Bakede I,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Leine mesozoisches Festgestein links 2,,,32525304,5784364
400000361,Bakede II,1994,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Leine mesozoisches Festgestein links 2,,,32525304,5784361
1100000181,Bakum,1988,2009,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Vechta,Ems,Hase Lockergestein rechts,,,32447752,5844071
1200008254,Balderhaar II,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Meppen,Grafschaft Bentheim,Rhein,Itter,,Getelo-Itterbeck,32345605,5818698
700290001,Ballenhausen_Quelle,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Göttingen,Weser,Leine mesozoisches Festgestein rechts 1,,Ballenhausen,32567172,5700187
1200000160,Bardel,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Meppen,Emsland,Ems,Große Aa,,,32402393,5812028
900000263,Bardenfleth-Schöpfw.,1981,2000,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wesermarsch,Weser,Hunte Lockergestein links,,,32459425,5898391
900000479,Barel I,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein rechts,,,32461893,5871096
900000501,Barel II,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein rechts,,,32461892,5871096
900000513,Barel III,1993,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein rechts,,,32461890,5871095
701300006,Bärental Oberflächenwasser Gose,1991,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,,32597068,5751264
100000383,Barge I,1981,2013,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein rechts,,,32410158,5895135
100000385,Barge II,1981,2013,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Aurich,Leer,Ems,Leda-Jümme Lockergestein rechts,,,32410157,5895134
